iter	RMSE
411	0.1248093824
412	0.1243665888
413	0.1240261467
414	0.1236962683
415	0.1235771421
416	0.123346738
417	0.1230582404
418	0.1229849449
419	0.1228101314
420	0.1224285777
421	0.1221461564
422	0.1218340296
423	0.1217272889
424	0.1213939953
425	0.121289525
426	0.121075537
427	0.1209899965
428	0.1208070999
429	0.1205796671
430	0.1203287796
431	0.1200233729
432	0.1197757678
433	0.1194474834
434	0.1192087971
435	0.1189596682
436	0.1185820988
437	0.1184714778
438	0.1183087177
439	0.1181368551
440	0.1180894003
441	0.1178728311
442	0.1177611209
443	0.1174692219
444	0.1172792521
445	0.1170301561
446	0.1169875192
447	0.1167589975
448	0.1164221895
449	0.1162832251
450	0.1159683425
451	0.1156326971
452	0.1155945234
453	0.1152203975
454	0.1150151855
455	0.1148684485
456	0.114696866
457	0.1144138358
458	0.114286803
459	0.1142006805
460	0.1139941288
461	0.1137319352
462	0.1135339419
463	0.1134724195
464	0.1133871878
465	0.1132593585
466	0.1130894048
467	0.1129128176
468	0.1127441001
469	0.1125066253
470	0.1121521054
471	0.112101666
472	0.112067118
473	0.1120334576
474	0.1118868636
475	0.1116436862
476	0.1113844572
477	0.1112069064
478	0.1110242926
479	0.1107610808
480	0.110717094
481	0.110624834
482	0.1104556876
483	0.1102553876
484	0.110228971
485	0.1100282902
486	0.1099738161
487	0.1097853722
488	0.1096300791
489	0.1095808804
490	0.1093146846
491	0.1092238934
492	0.1090695799
493	0.1088628019
494	0.1086585112
495	0.1085291392
496	0.1083017005
497	0.1080401807
498	0.1079447833
499	0.1077934337
500	0.107627939
501	0.1074109951
502	0.1072630295
503	0.1070685787
504	0.1069018338
505	0.106813716
506	0.106688436
507	0.1065073729
508	0.1063647767
509	0.1061907033
510	0.1059370056
511	0.1058916476
512	0.1056897109
513	0.1055539918
514	0.1053726446
515	0.1051906253
516	0.1050029446
517	0.1049585753
518	0.1046725719
519	0.1045095994
520	0.1043107224
521	0.104144695
522	0.1039556811
523	0.1038520898
524	0.1036025919
525	0.1033719491
526	0.1032977636
527	0.1030937906
528	0.1030398834
529	0.1029853199
530	0.102814829
531	0.1027566595
532	0.1025854989
533	0.1024645439
534	0.1024130559
535	0.102125155
536	0.1019658349
537	0.1019341463
538	0.1017479044
539	0.1015589419
540	0.1013919816
541	0.1012510772
542	0.101197201
543	0.1011280682
544	0.1009590558
545	0.1007766477
546	0.1006312292
547	0.1004401795
548	0.1003056611
549	0.1001299977
550	0.09997098637
551	0.09975826847
552	0.09963320851
553	0.09949055001
554	0.09935990085
555	0.09925896982
556	0.09913747028
557	0.0990005118
558	0.09881733254
559	0.09843046365
560	0.09822848298
561	0.09817906119
562	0.09800763507
563	0.0978309537
564	0.09769933159
565	0.09753522356
566	0.09746792157
567	0.09736097942
568	0.09721686025
569	0.09708242767
570	0.09694405294
571	0.09679121045
572	0.09660296369
573	0.09641449307
574	0.09615703329
575	0.09610683541
576	0.09596522425
577	0.09583431877
578	0.09558679001
579	0.09551873914
580	0.09546414753
581	0.09515893486
582	0.09506043377
583	0.09491141699
584	0.09481404412
585	0.09462168152
586	0.09457755671
587	0.09450005149
588	0.09439117872
589	0.09428037929
590	0.09413107022
591	0.09404102738
592	0.09380076099
593	0.09364311879
594	0.09352366997
595	0.09328725805
596	0.09316603095
597	0.09299472637
598	0.09273652422
599	0.09263349859
600	0.09237151325
601	0.09204157999
602	0.09179643503
603	0.09162906481
604	0.09144748726
605	0.09122997007
606	0.0910629875
607	0.09099049814
608	0.09093909041
609	0.09086689302
610	0.09072739968
611	0.09060627084
612	0.09047297474
613	0.09031065901
614	0.09009919721
615	0.08985473019
616	0.08973894082
617	0.08967342889
618	0.08950479387
619	0.08935949253
620	0.08905763761
621	0.08898048036
622	0.08892850439
623	0.08886349059
624	0.0887350654
625	0.08861391553
626	0.08846652267
627	0.08833022815
628	0.08827639659
629	0.08814424787
630	0.08803316328
631	0.08790752599
632	0.08774654394
633	0.0874473021
634	0.08734597788
635	0.08723589579
636	0.08705710067
637	0.08697631815
638	0.08686728109
639	0.08669084549
640	0.08654998059
641	0.08631571943
642	0.08626653548
643	0.086109145
644	0.08583346453
645	0.08578643948
646	0.08566467176
647	0.08553082722
648	0.08542644021
649	0.08514796788
650	0.08492459053
651	0.08475528937
652	0.08452170306
653	0.08436620821
654	0.08420374354
655	0.08410855767
656	0.08386000555
657	0.08361952255
658	0.0834924536
659	0.08332673538
660	0.08312883093
661	0.08286804342
662	0.08280451964
663	0.0827149606
664	0.08246885357
665	0.08240409001
666	0.08214166691
667	0.08199472559
668	0.08190149282
669	0.08178483136
670	0.08157863022
671	0.08144611155
672	0.08119768426
673	0.08088304252
674	0.0808239851
675	0.08075778641
676	0.08051820806
677	0.080302141
678	0.08011461609
679	0.08004211241
680	0.07987449072
681	0.07972451517
682	0.07949702018
683	0.07936489352
684	0.07924981024
685	0.07919995057
686	0.07914861576
687	0.07895972427
688	0.07891979801
689	0.07881298912
690	0.07876537058
691	0.07863947581
692	0.07851440742
693	0.07833397716
694	0.07810668081
695	0.07794306365
696	0.07780048057
697	0.07774576825
698	0.07764639469
699	0.07743288917
700	0.07737730793
701	0.07725611562
702	0.07707623243
703	0.07702933292
704	0.07697224418
705	0.07690763173
706	0.07685524543
707	0.07675391211
708	0.0766333355
709	0.07651264961
710	0.07646321279
711	0.076245002
712	0.07617919419
713	0.07589758905
714	0.07581654667
715	0.07575996087
716	0.07569665395
717	0.07560250694
718	0.07547136102
719	0.07533449957
720	0.07519673026
721	0.07503051081
722	0.07498131648
723	0.07484968877
724	0.07475165941
725	0.07468032799
726	0.07462547471
727	0.07453433476
728	0.07445092939
729	0.07428679819
730	0.07422453482
731	0.07416439276
732	0.07404073087
733	0.07387909827
734	0.07378796995
735	0.0736954616
736	0.07365973263
737	0.0736116511
738	0.0735472856
739	0.07340084466
740	0.07324946357
741	0.07320140335
742	0.07310352655
743	0.0729965917
744	0.07282042789
745	0.07273045232
746	0.07269880152
747	0.07265388507
748	0.07260803715
749	0.07247946222
750	0.07236616004
751	0.07226243521
752	0.07214500619
753	0.07208572519
754	0.07204581889
755	0.07191469139
756	0.07183048518
757	0.07166433454
758	0.07158226877
759	0.07149327949
760	0.07135270677
761	0.07120579047
762	0.07111840407
763	0.07101487184
764	0.07097448487
765	0.07078791898
766	0.07064347292
767	0.07054022952
768	0.07051673101
769	0.0704876994
770	0.07044555847
771	0.07036813405
772	0.07033105516
773	0.07021168038
774	0.07015839644
775	0.07012451423
776	0.07003706211
777	0.06995335462
778	0.06986001132
779	0.06977964188
780	0.06963348318
781	0.06952949172
782	0.06929426512
783	0.06922395645
784	0.0691537202
785	0.06904289212
786	0.06891812847
787	0.06888629544
788	0.06867640798
789	0.06865138644
790	0.06854888293
791	0.06834629506
792	0.06823180807
793	0.06819602416
794	0.06809756457
795	0.067953518
796	0.06782507303
797	0.06765275446
798	0.06757931948
799	0.06753854422
800	0.06747054303
801	0.06743171202
802	0.06726826819
803	0.06709782087
804	0.06691774175
805	0.0668782085
806	0.06676042969
807	0.06664811994
808	0.06662006152
809	0.06651092487
810	0.06641467441
811	0.06625891417
812	0.06617039392
813	0.06602538231
814	0.06583072726
815	0.06568541348
816	0.06566094963
817	0.06559747274
818	0.06547111951
819	0.06539224718
820	0.06535865046
821	0.06530518282
822	0.06520902677
823	0.06514587809
824	0.06503746387
825	0.06494907953
826	0.06485088647
827	0.06481117556
828	0.06473206569
829	0.06460331387
830	0.06456929993
831	0.06452294763
832	0.06444223716
833	0.06433917295
834	0.06430554365
835	0.06429488825
836	0.06423196909
837	0.06417268075
838	0.06402755235
839	0.06398527093
840	0.06390798777
841	0.06376504897
842	0.06371388511
843	0.06359051468
844	0.06345766442
845	0.06341265705
846	0.06337697961
847	0.06328488133
848	0.06318721343
849	0.06315021497
850	0.0630374797
851	0.0630002226
852	0.06290365055
853	0.0628380977
854	0.06277252108
855	0.06275129568
856	0.06270313209
857	0.06263850802
858	0.06253771818
859	0.06240415292
860	0.06233059795
861	0.06221264983
862	0.06217916535
863	0.06202292246
864	0.06197867541
865	0.06194790086
866	0.061853815
867	0.06175942584
868	0.06163792388
869	0.06158417999
870	0.06139363109
871	0.06136445521
872	0.06132653584
873	0.06129497149
874	0.06126983501
875	0.06111527722
876	0.06099121566
877	0.06095983595
878	0.06082641728
879	0.0607746686
880	0.06069055961
881	0.06063114327
882	0.06061771632
883	0.0605587836
884	0.06045111287
885	0.06033970291
886	0.06023233296
887	0.06014085879
888	0.06005811456
889	0.05998915605
890	0.0598793256
891	0.05971942716
892	0.05963731669
893	0.05957168669
894	0.05951949321
895	0.0594114147
896	0.05933719586
897	0.05923935705
898	0.05920432594
899	0.05911610651
900	0.05897258359
901	0.05885478798
902	0.0587618914
903	0.05865390644
904	0.05852833872
905	0.05836331611
906	0.05827973875
907	0.05824523898
908	0.05816545473
909	0.05813173929
910	0.05809904123
911	0.05806803144
912	0.05800325554
913	0.05797923792
914	0.05795378702
915	0.05788803668
916	0.05785915555
917	0.05783531164
918	0.05776292912
919	0.0577035627
920	0.05768278498
921	0.05763376374
922	0.05757185972
923	0.05752877636
924	0.0574484171
925	0.05737507697
926	0.05730073247
927	0.05720019435
928	0.05711595176
929	0.05699679705
930	0.05696259524
931	0.0568920122
932	0.05682316519
933	0.05675228487
934	0.05667414089
935	0.05652619303
936	0.05645680643
937	0.05639808562
938	0.0562582508
939	0.05624282866
940	0.05608809654
941	0.05600097968
942	0.05595354873
943	0.0558633668
944	0.05581968936
945	0.05579248912
946	0.05576453059
947	0.0556071562
948	0.05557571791
949	0.05547219359
950	0.05536958076
951	0.05529293745
952	0.05513890125
953	0.0551090332
954	0.05508686045
955	0.05498455731
956	0.05494709614
957	0.0548610555
958	0.05483342961
959	0.05480913488
960	0.05473084848
961	0.0546480664
962	0.05458541236
963	0.05455898065
964	0.05445411697
965	0.05435938552
966	0.05429796153
967	0.05416028081
968	0.05406979206
969	0.05398840716
970	0.05391486669
971	0.05382141076
972	0.05375063332
973	0.05364316455
974	0.05353168245
975	0.05349599204
976	0.053477169
977	0.05338631637
978	0.0533043926
979	0.0532185896
980	0.05312658679
981	0.05310356572
982	0.05302924995
983	0.05292095059
984	0.05287708216
985	0.05285029257
986	0.0527797348
987	0.05273436551
988	0.05271215641
989	0.05268341808
990	0.05259915687
991	0.05257101043
992	0.05247573433
993	0.0524572654
994	0.05241202696
995	0.05236445021
996	0.0522329495
997	0.05221169836
998	0.05205477234
999	0.05202414854
